CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CaseStatusID,IncidentFromDate,latitude,longitude,BriefFacts
1,100080001202400001,202400001,2024-02-18,29,83,3,2,5,4,2024-02-15 11:06:24,15.166834387985924,76.93109594228025,Voluptatum fuga amet voluptatum sed fugit. Quam perferendis ut ducimus minima eligendi. Corporis assumenda distinctio reiciendis incidunt.
2,100010001202400002,202400002,2024-04-06,50,11,1,1,2,2,2024-04-03 17:18:37,12.980662147057629,77.63779120329627,Est consequatur aliquam dolorum tempore iure. Eveniet recusandae amet. Culpa rem consectetur cumque explicabo nisi.
3,100050001202500003,202500003,2025-05-13,4,51,3,2,3,3,2025-05-13 15:54:27,15.881759110599575,74.50961081488447,"Modi dolores repellendus labore. Id rem tempora enim harum nisi.
Ipsum aliquam labore impedit dolores. Tempora sunt explicabo occaecati deserunt vitae exercitationem. Est in odit autem minus."
4,100010001202300004,202300004,2023-09-24,21,15,1,1,2,4,2023-09-20 08:25:24,12.969377243542459,77.6433387112499,Officiis maiores eos quas odio qui dolorum. Quia dicta molestias distinctio ad earum similique. Ipsum laudantium enim praesentium.
5,100010001202500005,202500005,2025-12-04,6,12,2,2,5,3,2025-12-02 13:48:07,12.982322597042229,77.64225252419588,Sed eligendi nemo earum nisi sit dolores. Nihil nisi magnam distinctio laboriosam minus impedit.
6,100040001202400006,202400006,2024-06-15,16,44,2,1,5,3,2024-06-10 08:43:23,12.950217743877213,74.87288732977531,"Hic non ducimus aliquid sit recusandae. Aliquid magnam perferendis error architecto.
Voluptate quos tempora natus optio. Ad dolor totam numquam soluta. Quibusdam sapiente rem temporibus."
7,100010001202400007,202400007,2024-11-23,32,15,1,1,2,4,2024-11-20 08:38:24,13.003162775435113,77.56684845121212,Commodi ducimus officia fugit dolorem. Quibusdam quasi magni ut repellendus velit ipsam. Tempora possimus cumque quas.
8,100010001202500008,202500008,2025-01-28,43,12,2,1,1,1,2025-01-27 06:56:05,13.015306696868102,77.54493672746095,"Voluptas dolorum assumenda dignissimos aliquam.
Laboriosam a recusandae.
In delectus maxime repellendus. Cupiditate repellat rerum autem."
9,100030001202300009,202300009,2023-03-31,34,35,3,2,2,4,2023-03-31 17:50:12,15.400096775691438,75.16486704753753,"Amet iusto nisi illo dolore. Porro architecto ad quaerat quia possimus incidunt.
Nisi atque rerum odit. Ipsa dolor consectetur quod expedita."
10,100050001202400010,202400010,2024-12-26,10,52,3,2,2,1,2024-12-23 12:25:28,15.837857122755429,74.49131596067929,Tempora unde cum ab expedita. Accusantium labore exercitationem sit neque. Quo consectetur quibusdam quibusdam natus.
11,100040001202500011,202500011,2025-01-09,24,41,1,2,2,2,2025-01-07 00:59:19,12.872412781211384,74.82404961040037,Saepe iste error sunt harum assumenda. Aut perspiciatis natus vero. Perferendis ea asperiores voluptatibus repellendus neque.
12,100010001202500012,202500012,2025-06-01,33,15,3,2,5,3,2025-05-28 12:09:24,12.965655246866833,77.55549152660039,Optio nisi accusantium consequuntur. Vel vitae odio iste similique repudiandae. Praesentium quidem soluta voluptatum amet ullam.
13,100010001202500013,202500013,2025-06-09,35,13,1,1,3,1,2025-06-08 03:46:12,12.962070899520931,77.62776583130507,"Facilis asperiores porro facere.
Quisquam fugiat soluta cumque sint ipsa voluptatum.
At itaque ea eligendi. Asperiores dolorem perspiciatis odio sunt modi illo."
14,100010001202400014,202400014,2024-03-12,45,11,1,2,2,2,2024-03-09 18:06:27,13.014147330989692,77.5678950988646,"Praesentium doloremque est. Officiis facilis laboriosam provident labore ipsum sequi. Esse ratione assumenda vitae neque tempora.
Sit voluptatum eum illum. Veniam eveniet assumenda nostrum beatae."
15,100010001202600015,202600015,2026-02-08,32,13,3,2,5,1,2026-02-07 07:10:41,12.922579648829567,77.61239820258511,Ipsam non similique officiis fuga corporis. Molestiae quibusdam sequi.
16,100010001202300016,202300016,2023-05-04,8,15,3,1,5,1,2023-05-01 17:59:20,12.977982224294127,77.63140058599868,"Cumque tenetur dolorum provident illum. Tempore consequatur cum ab ad aliquam et.
Similique eum adipisci in commodi quae. Fugit nihil modi. Numquam dolores adipisci deserunt explicabo maiores."
17,100010001202500017,202500017,2025-04-05,30,12,2,2,1,2,2025-04-03 04:44:37,13.012611732459417,77.63696765778798,Vero odit sapiente hic. Dolore velit assumenda commodi repellat corporis. Occaecati quod minima quam delectus sunt delectus. Libero dolore eum rem maiores optio voluptates.
18,100080001202300018,202300018,2023-09-12,43,82,3,2,5,4,2023-09-07 06:21:43,15.16939539475144,76.94484189767994,"Odit impedit at. Alias dolorum rem consequatur possimus dignissimos.
Vero distinctio dolorum. Pariatur adipisci quos saepe. Corporis accusamus inventore architecto."
19,100010001202500019,202500019,2025-06-26,22,12,2,2,4,1,2025-06-22 20:10:35,12.951263866958396,77.5961198382172,Eveniet ab aspernatur corporis pariatur. Quam sunt animi consequuntur quaerat laboriosam.
20,100060001202300020,202300020,2023-10-23,48,62,1,2,2,1,2023-10-20 20:44:27,17.33497985001433,76.80828457763623,"Fuga suscipit ut ab. Unde at velit ducimus debitis.
Quaerat quisquam eum quod recusandae. Saepe minima harum. Magni quam fuga temporibus cumque rem."
21,100010001202500021,202500021,2025-10-19,43,13,3,2,2,3,2025-10-15 23:22:21,13.01010725123365,77.59389943454799,Cupiditate occaecati placeat debitis corporis pariatur autem. Similique alias mollitia labore. Nisi praesentium dolorem.
22,100010001202400022,202400022,2024-02-28,38,14,2,2,3,1,2024-02-25 02:52:32,12.952170098996612,77.58536580043393,Quam ut assumenda earum voluptatibus. Temporibus ducimus dolore distinctio.
23,100020001202600023,202600023,2026-02-09,17,21,2,1,5,4,2026-02-08 02:09:34,12.283551735694427,76.67281299239517,"Recusandae repellendus saepe possimus at amet. Cupiditate quaerat recusandae autem non corrupti animi.
Eaque dignissimos odio. Minus unde vero commodi quam distinctio ex."
24,100050001202500024,202500024,2025-11-21,1,55,2,1,5,1,2025-11-16 17:36:51,15.882121896928403,74.49229283431698,"Quisquam ut odio fugit. Dolore cumque fuga impedit.
Deleniti consequatur quis corrupti ut eius. Nostrum ullam quam tenetur esse. Facere quas qui voluptas."
25,100010001202300025,202300025,2023-08-05,18,12,2,1,2,2,2023-08-01 08:56:55,12.964997143773466,77.56436049024842,Consectetur omnis qui quisquam sit eos mollitia occaecati. Autem officia iure facilis necessitatibus.
26,100020001202600026,202600026,2026-03-17,32,22,2,1,5,3,2026-03-14 21:36:11,12.289132580174153,76.64920463437717,"Repudiandae dolor error nulla blanditiis quia. Inventore ratione tempore mollitia.
Reiciendis earum eligendi libero soluta officia quo veniam. Ullam ab tempore tempora."
27,100010001202400027,202400027,2024-02-29,18,14,2,1,5,2,2024-02-24 06:54:41,12.977269841707454,77.57801092895627,Ratione inventore occaecati unde libero deleniti. Voluptatum dicta esse sapiente possimus. Numquam tempore sunt molestiae.
