CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude,CrimeMajorHeadID
1,100080001202400001,202400001,2024-02-18,83,15.166834387985924,76.93109594228025,5
2,100010001202400002,202400002,2024-04-06,11,12.980662147057629,77.63779120329627,2
3,100050001202500003,202500003,2025-05-13,51,15.881759110599576,74.50961081488447,3
4,100010001202300004,202300004,2023-09-24,15,12.96937724354246,77.6433387112499,2
5,100010001202500005,202500005,2025-12-04,12,12.982322597042227,77.64225252419588,5
6,100040001202400006,202400006,2024-06-15,44,12.950217743877213,74.87288732977531,5
7,100010001202400007,202400007,2024-11-23,15,13.003162775435111,77.56684845121212,2
8,100010001202500008,202500008,2025-01-28,12,13.015306696868102,77.54493672746095,1
9,100030001202300009,202300009,2023-03-31,35,15.400096775691438,75.16486704753753,2
10,100050001202400010,202400010,2024-12-26,52,15.837857122755429,74.49131596067929,2
11,100040001202500011,202500011,2025-01-09,41,12.872412781211384,74.82404961040037,2
12,100010001202500012,202500012,2025-06-01,15,12.965655246866833,77.55549152660039,5
13,100010001202500013,202500013,2025-06-09,13,12.962070899520931,77.62776583130507,3
14,100010001202400014,202400014,2024-03-12,11,13.014147330989692,77.5678950988646,2
15,100010001202600015,202600015,2026-02-08,13,12.922579648829569,77.61239820258511,5
16,100010001202300016,202300016,2023-05-04,15,12.977982224294127,77.63140058599868,5
17,100010001202500017,202500017,2025-04-05,12,13.012611732459415,77.63696765778798,1
18,100080001202300018,202300018,2023-09-12,82,15.16939539475144,76.94484189767994,5
19,100010001202500019,202500019,2025-06-26,12,12.951263866958396,77.5961198382172,4
20,100060001202300020,202300020,2023-10-23,62,17.33497985001433,76.80828457763623,2
21,100010001202500021,202500021,2025-10-19,13,13.01010725123365,77.59389943454799,2
22,100010001202400022,202400022,2024-02-28,14,12.952170098996612,77.58536580043393,3
23,100020001202600023,202600023,2026-02-09,21,12.283551735694427,76.67281299239517,5
24,100050001202500024,202500024,2025-11-21,55,15.882121896928403,74.49229283431698,5
25,100010001202300025,202300025,2023-08-05,12,12.964997143773466,77.56436049024842,2
26,100020001202600026,202600026,2026-03-17,22,12.289132580174153,76.64920463437717,5
27,100010001202400027,202400027,2024-02-29,14,12.977269841707454,77.57801092895627,5
28,100020001202400028,202400028,2024-01-24,21,12.282353321523695,76.65643287677447,2
29,100020001202300029,202300029,2023-12-02,25,12.335302817416617,76.60707660439726,4
30,100050001202400030,202400030,2024-09-01,53,15.868194496729718,74.47351189432179,5
31,100080001202300031,202300031,2023-11-25,81,15.150556582484818,76.95341374294387,5
32,100010001202500032,202500032,2025-08-02,12,12.921693512214803,77.59301372023067,2
33,100010001202300033,202300033,2023-12-24,13,13.01214544235713,77.54784978201029,4
34,100050001202300034,202300034,2023-04-25,55,15.847134116034525,74.53845824295068,5
35,100010001202600035,202600035,2026-04-25,14,12.939772802686637,77.61531947681172,3
36,100010001202500036,202500036,2025-07-11,13,12.955392813362186,77.5719740851392,2
37,100010001202500037,202500037,2025-08-17,14,12.966810755920802,77.54514433743286,3
38,100010001202400038,202400038,2024-11-12,11,12.964317757854122,77.57961594643777,5
39,100070001202300039,202300039,2023-08-05,74,14.450768252956427,75.95327079244822,2
40,100030001202500040,202500040,2025-02-17,35,15.411331322077787,75.14383737349041,2
41,100010001202600041,202600041,2026-05-19,11,12.96861316875661,77.58297244389023,4
42,100010001202500042,202500042,2025-09-04,11,12.957509320026585,77.54997467126728,2
43,100050001202400043,202400043,2024-01-24,52,15.896222256982352,74.48237400400298,5
44,100050001202300044,202300044,2023-08-05,55,15.825323207034222,74.47696285529271,5
45,100010001202300045,202300045,2023-06-23,12,12.95855804941964,77.60847164335902,5
46,100040001202400046,202400046,2024-06-11,43,12.89938259089108,74.84131957245731,2
47,100010001202400047,202400047,2024-03-08,12,12.966796724792164,77.61097552833144,2
48,100010001202500048,202500048,2025-06-25,15,12.981652502509244,77.56583432735253,2
49,100010001202300049,202300049,2023-03-15,14,12.962874257938804,77.5699715559915,3
50,100020001202500050,202500050,2025-03-14,25,12.318055524450727,76.63714178829525,3
51,100010001202400051,202400051,2024-10-26,13,12.99129593289894,77.60371660850593,2
52,100080001202600052,202600052,2026-02-17,81,15.114971773934556,76.87999561726372,1
53,100030001202500053,202500053,2025-09-25,33,15.40595236045638,75.08226918822963,4
54,100030001202500054,202500054,2025-02-07,34,15.372177491619516,75.12957656648328,5
55,100070001202500055,202500055,2025-05-19,73,14.50360910001802,75.96072836882618,2
56,100040001202400056,202400056,2024-08-30,43,12.87207578826649,74.8248569037384,3
57,100010001202400057,202400057,2024-08-08,15,12.971866348350378,77.56090222597838,5
58,100030001202600058,202600058,2026-03-22,31,15.37992172087449,75.08889330604674,5
59,100010001202400059,202400059,2024-12-16,14,12.955875154217862,77.57125871303302,5
60,100020001202400060,202400060,2024-08-24,21,12.25944713704117,76.61555817505442,2
61,100080001202400061,202400061,2024-03-24,85,15.132023783080134,76.96635902371965,2
62,100020001202400062,202400062,2024-06-04,22,12.34083472326831,76.62364541100148,2
63,100060001202500063,202500063,2025-09-08,64,17.315636025989125,76.8287346681257,2
64,100010001202500064,202500064,2025-11-16,14,12.967578144145726,77.62262512721858,4
65,100010001202600065,202600065,2026-05-12,13,12.922439427795595,77.63956154048687,5
66,100020001202600066,202600066,2026-04-01,25,12.33951611301253,76.60347708248852,3
67,100010001202400067,202400067,2024-05-31,12,12.972901101632006,77.57506854589829,3
68,100010001202400068,202400068,2024-09-10,14,12.938672941069676,77.58848223048284,5
69,100020001202300069,202300069,2023-06-15,25,12.307250061251588,76.64947655014058,5
70,100010001202300070,202300070,2023-07-29,12,12.978712828826254,77.61297204709379,2
71,100070001202400071,202400071,2024-01-23,72,14.475031075030678,75.89236712959215,1
72,100010001202500072,202500072,2025-01-15,14,12.939096151769752,77.59050997454862,3
73,100060001202600073,202600073,2026-06-11,64,17.35860596066202,76.87543324360871,5
74,100010001202600074,202600074,2026-01-08,15,12.962375208427115,77.56913563703293,5
75,100010001202300075,202300075,2023-06-07,11,12.93989809458571,77.5625871365561,4
76,100020001202600076,202600076,2026-05-13,25,12.309640049493629,76.65529263261097,1
77,100010001202600077,202600077,2026-06-03,13,12.979113867747088,77.58723561996992,2
78,100050001202400078,202400078,2024-11-11,54,15.835048114088355,74.48804281332792,3
79,100010001202500079,202500079,2025-11-08,11,12.98305555746871,77.568873481398,5
80,100010001202400080,202400080,2024-03-03,12,13.0043856425428,77.55776021982855,2
81,100020001202600081,202600081,2026-04-22,24,12.31380650563474,76.67372268297234,3
82,100010001202500082,202500082,2025-06-07,11,12.962823187568484,77.634465139666,2
83,100060001202300083,202300083,2023-08-05,63,17.362629429468228,76.78533951234886,2
84,100010001202400084,202400084,2024-06-17,11,13.010749519045907,77.61949865324057,4
85,100060001202300085,202300085,2023-07-06,61,17.31639940646758,76.84569829229854,2
86,100030001202500086,202500086,2025-07-18,35,15.371473237135714,75.09987561813459,2
87,100010001202500087,202500087,2025-08-22,12,13.02097944423339,77.62429063473088,2
88,100010001202500088,202500088,2025-08-18,11,12.958184767368587,77.5530209076457,5
89,100010001202300089,202300089,2023-05-14,15,12.984716202454418,77.55975743638207,4
90,100010001202300090,202300090,2023-05-06,13,12.953962929131915,77.60159012102397,2
91,100010001202400091,202400091,2024-07-06,15,12.981304726431189,77.64025568480432,5
92,100010001202400092,202400092,2024-04-26,12,13.00684882002707,77.60865944537957,5
93,100020001202300093,202300093,2023-12-24,22,12.33469422021082,76.67851978841891,1
