CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude
1,100070001202500001,202500001,2025-04-22,75,14.454302127782231,75.9297486407392
2,100040001202500002,202500002,2025-12-03,41,12.935891263136892,74.87824184734859
3,100030001202300003,202300003,2023-10-16,35,15.363976828089305,75.15954390727096
4,100050001202500004,202500004,2025-10-08,55,15.826378153907903,74.50730123627046
5,100040001202400005,202400005,2024-05-04,44,12.95978544043942,74.81511747798119
6,100040001202400006,202400006,2024-01-07,43,12.929255549720583,74.85355733582038
7,100020001202600007,202600007,2026-04-26,24,12.323263554643049,76.64098443174689
8,100070001202500008,202500008,2025-02-03,71,14.48171780136541,75.90376529438268
9,100040001202400009,202400009,2024-11-27,44,12.865704669726837,74.8694863598309
10,100030001202300010,202300010,2023-10-27,35,15.411433065464488,75.15295095353687
11,100060001202300011,202300011,2023-12-03,61,17.3688046804667,76.83069424787668
12,100060001202300012,202300012,2023-06-07,63,17.363817572802148,76.85357211047797
13,100010001202500013,202500013,2025-10-12,11,13.0154430777012,77.64149361873115
14,100080001202600014,202600014,2026-02-07,82,15.117246363146188,76.95531660334784
15,100050001202400015,202400015,2024-02-27,55,15.852076289425428,74.51588542951063
16,100030001202500016,202500016,2025-04-02,35,15.38882331227827,75.08542660306422
17,100070001202400017,202400017,2024-11-23,72,14.428945057011516,75.94241226984981
18,100070001202300018,202300018,2023-06-19,75,14.4873352806705,75.89482792774012
19,100020001202600019,202600019,2026-06-12,23,12.330352602083032,76.59992059248661
20,100060001202400020,202400020,2024-10-09,64,17.285475178271348,76.85775840924447
21,100070001202600021,202600021,2026-02-07,71,14.45453871964235,75.92270358077178
22,100050001202500022,202500022,2025-05-15,52,15.805570182694938,74.48821569998519
23,100080001202300023,202300023,2023-01-06,82,15.153891383373788,76.96171009393598
24,100060001202300024,202300024,2023-09-25,64,17.342261947428973,76.87740651893493
25,100070001202300025,202300025,2023-11-05,73,14.44806000704212,75.87300809697307
26,100070001202500026,202500026,2025-10-10,72,14.477152865897812,75.91133422659242
27,100050001202300027,202300027,2023-08-02,54,15.897624366226347,74.52694869376232
28,100050001202600028,202600028,2026-04-30,52,15.83794741019758,74.53889447072517
29,100030001202500029,202500029,2025-07-26,34,15.355576075083752,75.15147931050866
30,100040001202400030,202400030,2024-04-21,45,12.87883938699747,74.85515068553721
31,100010001202300031,202300031,2023-06-23,15,12.977144663410218,77.61703540436358
32,100020001202400032,202400032,2024-02-17,25,12.302548128068068,76.60083448257494
33,100070001202500033,202500033,2025-06-29,71,14.4404108223365,75.95437791247109
34,100080001202600034,202600034,2026-01-28,84,15.175919879376687,76.91373235855067
35,100030001202300035,202300035,2023-10-31,35,15.317636180911396,75.1376075031278
36,100060001202300036,202300036,2023-03-21,61,17.285490191728744,76.86056879230577
37,100030001202500037,202500037,2025-09-13,35,15.356834581132333,75.10811853814522
38,100030001202300038,202300038,2023-11-17,33,15.371666561672264,75.14540869939198
39,100060001202400039,202400039,2024-07-15,65,17.32455836952674,76.8518852470376
40,100050001202400040,202400040,2024-01-14,53,15.854289686315406,74.45529304291091
41,100040001202400041,202400041,2024-07-03,41,12.949465110151444,74.89917683228573
42,100050001202400042,202400042,2024-07-16,53,15.87834579551211,74.53609873769797
43,100010001202400043,202400043,2024-11-02,11,12.98090517839749,77.59956057299928
44,100030001202500044,202500044,2025-09-27,32,15.38900398961791,75.14946725801548
45,100020001202400045,202400045,2024-08-03,24,12.29074785320699,76.62121469935757
46,100010001202500046,202500046,2025-12-25,14,12.9321607756102,77.61185578518047
